epoch,step,task_1/learning_curve/train/acc,task_1/learning_curve/train/loss_cls,task_1/learning_curve/val/acc,task_1/learning_curve/val/loss_cls,task_1/train/acc,task_1/train/acc_batch,task_1/train/loss,task_1/train/loss_batch,task_1/train/loss_cls,task_1/train/loss_cls_batch,task_2/learning_curve/train/acc,task_2/learning_curve/train/loss_cls,task_2/learning_curve/val/acc,task_2/learning_curve/val/loss_cls,task_2/train/acc,task_2/train/acc_batch,task_2/train/loss,task_2/train/loss_batch,task_2/train/loss_cls,task_2/train/loss_cls_batch,task_3/learning_curve/train/acc,task_3/learning_curve/train/loss_cls,task_3/learning_curve/val/acc,task_3/learning_curve/val/loss_cls,task_3/train/acc,task_3/train/acc_batch,task_3/train/loss,task_3/train/loss_batch,task_3/train/loss_cls,task_3/train/loss_cls_batch,task_4/learning_curve/train/acc,task_4/learning_curve/train/loss_cls,task_4/learning_curve/val/acc,task_4/learning_curve/val/loss_cls,task_4/train/acc,task_4/train/acc_batch,task_4/train/loss,task_4/train/loss_batch,task_4/train/loss_cls,task_4/train/loss_cls_batch,task_5/learning_curve/train/acc,task_5/learning_curve/train/loss_cls,task_5/learning_curve/val/acc,task_5/learning_curve/val/loss_cls,task_5/train/acc,task_5/train/acc_batch,task_5/train/loss,task_5/train/loss_batch,task_5/train/loss_cls,task_5/train/loss_cls_batch
1,339,,,,,,,,,,,,,,,0.973713219165802,0.984375,0.11747333407402039,0.09479483962059021,0.07176731526851654,0.04934029281139374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,339,,,,,,,,,,,,,0.962890625,0.10910119861364365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,339,,,,,,,,,,,0.973713219165802,0.07176731526851654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,,,,,,,,,,,,,,,,,,,,,,,0.753125011920929,0.921875,0.5716673731803894,0.32756245136260986,0.5243168473243713,0.2805542051792145,,,,,,,,,,,,,,,,,,,,
0,39,,,,,,,,,,,,,,,,,,,,,,,,,0.841796875,0.96875,0.40285438299179077,0.15824636816978455,0.35551518201828003,0.11080726981163025,,,,,,,,,,,,,,,,,,,,
0,59,,,,,,,,,,,,,,,,,,,,,,,,,0.8864583373069763,1.0,0.30447980761528015,0.05999215692281723,0.25720274448394775,0.013184602372348309,,,,,,,,,,,,,,,,,,,,
0,79,,,,,,,,,,,,,,,,,,,,,,,,,0.910351574420929,0.984375,0.2512418329715729,0.08044584840536118,0.2042171061038971,0.03460381552577019,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,,,0.926562488079071,0.984375,0.21587346494197845,0.11356832087039948,0.1691312938928604,0.06824417412281036,,,,,,,,,,,,,,,,,,,,
0,119,,,,,,,,,,,,,,,,,,,,,,,,,0.9364583492279053,1.0,0.19298817217350006,0.06001655012369156,0.14650510251522064,0.015058810822665691,,,,,,,,,,,,,,,,,,,,
0,139,,,,,,,,,,,,,,,,,,,,,,,,,0.944531261920929,1.0,0.17549867928028107,0.05374981090426445,0.12923550605773926,0.00891619548201561,,,,,,,,,,,,,,,,,,,,
0,157,,,,,,,,,,,,,,,,,,,,,,,0.9476562738418579,0.09226877987384796,,,,,,,,,,,,,,,,,,,,,,,,,,
0,157,,,,,,,,,,,,,,,,,,,,,0.9502571225166321,0.11740916222333908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,159,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.953125,0.4405543804168701,0.3034175932407379,0.38952428102493286,0.2534184157848358,,,,,,,,,,,,,,,,,,,,
1,179,,,,,,,,,,,,,,,,,,,,,,,,,0.9836647510528564,1.0,0.0999341532588005,0.04775415360927582,0.054245784878730774,0.0029793011490255594,,,,,,,,,,,,,,,,,,,,
1,199,,,,,,,,,,,,,,,,,,,,,,,,,0.9888392686843872,1.0,0.08307278156280518,0.049272485077381134,0.03789091482758522,0.004719266667962074,,,,,,,,,,,,,,,,,,,,
1,219,,,,,,,,,,,,,,,,,,,,,,,,,0.9904233813285828,1.0,0.0776590034365654,0.04570429027080536,0.032739266753196716,0.0014306583907455206,,,,,,,,,,,,,,,,,,,,
1,239,,,,,,,,,,,,,,,,,,,,,,,,,0.9918063879013062,1.0,0.073517344892025,0.04833703115582466,0.02878178283572197,0.004307530354708433,,,,,,,,,,,,,,,,,,,,
1,259,,,,,,,,,,,,,,,,,,,,,,,,,0.9929534196853638,1.0,0.06995157897472382,0.05146298184990883,0.025358811020851135,0.007512114942073822,,,,,,,,,,,,,,,,,,,,
1,279,,,,,,,,,,,,,,,,,,,,,,,,,0.993212103843689,0.984375,0.06765920668840408,0.0794907733798027,0.02317824959754944,0.03560372814536095,,,,,,,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,,,,,,,,,,,0.9931778311729431,1.0,0.0668707937002182,0.05522104352712631,0.02247558906674385,0.011359063908457756,,,,,,,,,,,,,,,,,,,,
1,315,,,,,,,,,,,,,,,,,,,,,,,0.9691612124443054,0.05729669705033302,,,,,,,,,,,,,,,,,,,,,,,,,,
1,315,,,,,,,,,,,,,,,,,,,,,0.9934731125831604,0.021173790097236633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6890624761581421,0.90625,0.6644885540008545,0.49812623858451843,0.6149199604988098,0.44846001267433167,,,,,,,,,,
0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8031250238418579,0.96875,0.4788888990879059,0.14415110647678375,0.42918330430984497,0.09401806443929672,,,,,,,,,,
0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8669270873069763,1.0,0.3454490900039673,0.05842987075448036,0.2954822778701782,0.007759220898151398,,,,,,,,,,
0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8988281488418579,1.0,0.2754168212413788,0.05400191992521286,0.22526831924915314,0.0033179461024701595,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9185937643051147,1.0,0.23188862204551697,0.052519071847200394,0.18169349431991577,0.002725372789427638,,,,,,,,,,
